"-----------OO-O---O-XXXXX","X","-","-","-","-","-","-","-","-","-","-","-","O","O","-","O","-","-","-","O","-","X","X","X","X","X"
"-----------OO-O--O--XXXXX","X","-","-","-","-","-","-","-","-","-","-","-","O","O","-","O","-","-","O","-","-","X","X","X","X","X"
"-----------OO-O-O---XXXXX","X","-","-","-","-","-","-","-","-","-","-","-","O","O","-","O","-","O","-","-","-","X","X","X","X","X"
"-----------OO-OO----XXXXX","X","-","-","-","-","-","-","-","-","-","-","-","O","O","-","O","O","-","-","-","-","X","X","X","X","X"
"-----------OO-OXXXXX----O","X","-","-","-","-","-","-","-","-","-","-","-","O","O","-","O","X","X","X","X","X","-","-","-","-","O"
"-----------OO-OXXXXX---O-","X","-","-","-","-","-","-","-","-","-","-","-","O","O","-","O","X","X","X","X","X","-","-","-","O","-"
"-----------OO-OXXXXX--O--","X","-","-","-","-","-","-","-","-","-","-","-","O","O","-","O","X","X","X","X","X","-","-","O","-","-"
"-----------OO-OXXXXX-O---","X","-","-","-","-","-","-","-","-","-","-","-","O","O","-","O","X","X","X","X","X","-","O","-","-","-"
"-----------OO-OXXXXXO----","X","-","-","-","-","-","-","-","-","-","-","-","O","O","-","O","X","X","X","X","X","O","-","-","-","-"
"-----------OOO-----OXXXXX","X","-","-","-","-","-","-","-","-","-","-","-","O","O","O","-","-","-","-","-","O","X","X","X","X","X"
"-----------OOO----O-XXXXX","X","-","-","-","-","-","-","-","-","-","-","-","O","O","O","-","-","-","-","O","-","X","X","X","X","X"
"-----------OOO---O--XXXXX","X","-","-","-","-","-","-","-","-","-","-","-","O","O","O","-","-","-","O","-","-","X","X","X","X","X"
"-----------OOO-XXXXX----O","X","-","-","-","-","-","-","-","-","-","-","-","O","O","O","-","X","X","X","X","X","-","-","-","-","O"
"-----------OOO-XXXXX---O-","X","-","-","-","-","-","-","-","-","-","-","-","O","O","O","-","X","X","X","X","X","-","-","-","O","-"
"-----------OOO-XXXXX--O--","X","-","-","-","-","-","-","-","-","-","-","-","O","O","O","-","X","X","X","X","X","-","-","O","-","-"
"-----------OOOO-----XXXXX","X","-","-","-","-","-","-","-","-","-","-","-","O","O","O","O","-","-","-","-","-","X","X","X","X","X"
"-----------OOOOXXXXX-----","X","-","-","-","-","-","-","-","-","-","-","-","O","O","O","O","X","X","X","X","X","-","-","-","-","-"
"----------O---O---OOXXXXX","X","-","-","-","-","-","-","-","-","-","-","O","-","-","-","O","-","-","-","O","O","X","X","X","X","X"
"----------O---O--O-OXXXXX","X","-","-","-","-","-","-","-","-","-","-","O","-","-","-","O","-","-","O","-","O","X","X","X","X","X"
"----------O---O--OO-XXXXX","X","-","-","-","-","-","-","-","-","-","-","O","-","-","-","O","-","-","O","O","-","X","X","X","X","X"
"----------O---O-O--OXXXXX","X","-","-","-","-","-","-","-","-","-","-","O","-","-","-","O","-","O","-","-","O","X","X","X","X","X"
"----------O---O-O-O-XXXXX","X","-","-","-","-","-","-","-","-","-","-","O","-","-","-","O","-","O","-","O","-","X","X","X","X","X"
"----------O---OO---OXXXXX","X","-","-","-","-","-","-","-","-","-","-","O","-","-","-","O","O","-","-","-","O","X","X","X","X","X"
"----------O---OXXXXX---OO","X","-","-","-","-","-","-","-","-","-","-","O","-","-","-","O","X","X","X","X","X","-","-","-","O","O"
"----------O---OXXXXX--O-O","X","-","-","-","-","-","-","-","-","-","-","O","-","-","-","O","X","X","X","X","X","-","-","O","-","O"
"----------O---OXXXXX--OO-","X","-","-","-","-","-","-","-","-","-","-","O","-","-","-","O","X","X","X","X","X","-","-","O","O","-"
"----------O---OXXXXX-O--O","X","-","-","-","-","-","-","-","-","-","-","O","-","-","-","O","X","X","X","X","X","-","O","-","-","O"
"----------O---OXXXXX-O-O-","X","-","-","-","-","-","-","-","-","-","-","O","-","-","-","O","X","X","X","X","X","-","O","-","O","-"
"----------O---OXXXXXO---O","X","-","-","-","-","-","-","-","-","-","-","O","-","-","-","O","X","X","X","X","X","O","-","-","-","O"
"----------O--OO----OXXXXX","X","-","-","-","-","-","-","-","-","-","-","O","-","-","O","O","-","-","-","-","O","X","X","X","X","X"
"----------O--OO---O-XXXXX","X","-","-","-","-","-","-","-","-","-","-","O","-","-","O","O","-","-","-","O","-","X","X","X","X","X"
